Date,Open,High,Low,Close,Adj Close,Volume
2023-12-12,1.390000,1.550000,1.350000,1.470000,1.470000,17474800
2023-12-13,1.460000,1.610000,1.420000,1.580000,1.580000,19163900
2023-12-14,1.660000,1.870000,1.640000,1.770000,1.770000,34827600
2023-12-15,1.750000,1.810000,1.640000,1.810000,1.810000,44299000
2023-12-18,1.810000,1.820000,1.700000,1.790000,1.790000,12420900
2023-12-19,1.760000,1.850000,1.750000,1.770000,1.770000,9963500
2023-12-20,1.700000,1.780000,1.650000,1.660000,1.660000,14597100
2023-12-21,1.650000,1.760000,1.650000,1.740000,1.740000,11549400
2023-12-22,1.710000,1.790000,1.700000,1.730000,1.730000,9563100
2023-12-26,1.720000,1.840000,1.700000,1.800000,1.800000,10606300
2023-12-27,1.790000,1.850000,1.780000,1.810000,1.810000,10877200
2023-12-28,1.790000,1.900000,1.770000,1.850000,1.850000,11014100
2023-12-29,1.830000,1.870000,1.790000,1.830000,1.830000,12217300
2024-01-02,1.790000,1.960000,1.760000,1.890000,1.890000,12804600
2024-01-03,1.870000,1.890000,1.770000,1.790000,1.790000,11375100
2024-01-04,1.800000,1.800000,1.700000,1.750000,1.750000,9648800
2024-01-05,1.720000,1.810000,1.700000,1.700000,1.700000,11004700
2024-01-08,1.700000,1.770000,1.560000,1.740000,1.740000,15279900
2024-01-09,1.720000,1.730000,1.610000,1.630000,1.630000,10142800
2024-01-10,1.600000,1.710000,1.590000,1.700000,1.700000,11902300
2024-01-11,1.660000,1.680000,1.560000,1.580000,1.580000,21276600
2024-01-12,1.620000,1.650000,1.580000,1.590000,1.590000,15443100
2024-01-16,1.560000,1.570000,1.500000,1.550000,1.550000,10351800
2024-01-17,1.500000,1.550000,1.400000,1.440000,1.440000,18356600
2024-01-18,1.440000,1.480000,1.410000,1.440000,1.440000,9558800
2024-01-19,1.450000,1.460000,1.310000,1.320000,1.320000,15380500
2024-01-22,1.330000,1.380000,1.280000,1.380000,1.380000,12330600
2024-01-23,1.410000,1.450000,1.350000,1.370000,1.370000,12195400
2024-01-24,1.390000,1.430000,1.320000,1.350000,1.350000,9677700
2024-01-25,1.380000,1.710000,1.350000,1.380000,1.380000,47668000
2024-01-26,1.400000,1.570000,1.400000,1.400000,1.400000,27215800
2024-01-29,1.400000,1.430000,1.250000,1.360000,1.360000,26646900
2024-01-30,1.340000,1.380000,1.290000,1.300000,1.300000,7237200
2024-01-31,1.300000,1.310000,1.220000,1.220000,1.220000,22073600
2024-02-01,1.250000,1.300000,1.220000,1.280000,1.280000,10007800
2024-02-02,1.250000,1.320000,1.210000,1.300000,1.300000,13955700
2024-02-05,1.290000,1.340000,1.260000,1.290000,1.290000,13152400
2024-02-06,1.290000,1.380000,1.290000,1.350000,1.350000,20495800
2024-02-07,1.520000,1.520000,1.400000,1.450000,1.450000,28659100
2024-02-08,1.450000,1.540000,1.410000,1.500000,1.500000,14686800
2024-02-09,1.490000,1.550000,1.450000,1.520000,1.520000,12144100
